subject,startDate,startTime,endDate,endTime,allDayEvent,description,location,private
vs. セレッソ大阪 第1節 明治安田J1リーグ,2025/2/14,19:00,,21:00,,,＠パナスタ,
vs. アビスパ福岡 第2節 明治安田J1リーグ,2025/2/22,15:00,,17:00,,,＠パナスタ,
vs. ファジアーノ岡山 第3節 明治安田J1リーグ,2025/2/26,19:00,,21:00,,,＠未定,
vs. 東京ヴェルディ 第4節 明治安田J1リーグ,2025/3/2,14:00,,16:00,,,＠味スタ,
vs. 清水エスパルス 第5節 明治安田J1リーグ,2025/3/8,15:00,,17:00,,,＠パナスタ,
vs. 横浜F・マリノス 第6節 明治安田J1リーグ,2025/3/16,14:00,,16:00,,,＠日産ス,
vs. 高知ユナイテッドSC 1stラウンド1回戦 JリーグYBCルヴァンカップ,2025/3/20,14:00,,16:00,,,＠春野陸,
vs. アルビレックス新潟 第7節 明治安田J1リーグ,2025/3/29,14:00,,16:00,,,＠デンカS,
vs. FC町田ゼルビア 第8節 明治安田J1リーグ,2025/4/2,,,,1,,＠未定,
vs. 柏レイソル 第9節 明治安田J1リーグ,2025/4/5,,,,1,日程未確定,＠未定,
vs. 名古屋グランパス 第10節 明治安田J1リーグ,2025/4/12,,,,1,日程未確定,＠未定,
vs. 横浜FC 第11節 明治安田J1リーグ,2025/4/19,,,,1,日程未確定,＠未定,
vs. FC東京 第12節 明治安田J1リーグ,2025/4/25,19:30,,21:30,,,＠国立,
vs. 京都サンガF.C. 第13節 明治安田J1リーグ,2025/4/29,,,,1,,＠未定,
vs. 湘南ベルマーレ 第14節 明治安田J1リーグ,2025/5/3,,,,1,,＠未定,
vs. 浦和レッズ 第15節 明治安田J1リーグ,2025/5/6,,,,1,日程未確定,＠未定,
vs. サンフレッチェ広島 第16節 明治安田J1リーグ,2025/5/10,,,,1,日程未確定,＠未定,
vs. ヴィッセル神戸 第17節 明治安田J1リーグ,2025/5/17,,,,1,日程未確定,＠未定,
vs. 川崎フロンターレ 第18節 明治安田J1リーグ,2025/5/24,,,,1,日程未確定,＠未定,
vs. 鹿島アントラーズ 第19節 明治安田J1リーグ,2025/5/31,,,,1,日程未確定,＠未定,
vs. 清水エスパルス 第20節 明治安田J1リーグ,2025/6/14,,,,1,日程未確定,＠未定,
vs. FC東京 第21節 明治安田J1リーグ,2025/6/21,,,,1,日程未確定,＠未定,
vs. 京都サンガF.C. 第22節 明治安田J1リーグ,2025/6/28,,,,1,日程未確定,＠未定,
vs. セレッソ大阪 第23節 明治安田J1リーグ,2025/7/5,,,,1,,＠未定,
vs. 川崎フロンターレ 第24節 明治安田J1リーグ,2025/7/19,,,,1,日程未確定,＠未定,
vs. ファジアーノ岡山 第25節 明治安田J1リーグ,2025/8/9,,,,1,日程未確定,＠未定,
vs. サンフレッチェ広島 第26節 明治安田J1リーグ,2025/8/16,,,,1,日程未確定,＠未定,
vs. 横浜FC 第27節 明治安田J1リーグ,2025/8/23,,,,1,日程未確定,＠未定,
vs. 湘南ベルマーレ 第28節 明治安田J1リーグ,2025/8/30,,,,1,日程未確定,＠未定,
vs. 浦和レッズ 第29節 明治安田J1リーグ,2025/9/13,,,,1,日程未確定,＠未定,
vs. FC町田ゼルビア 第30節 明治安田J1リーグ,2025/9/20,,,,1,,＠未定,
vs. 横浜F・マリノス 第31節 明治安田J1リーグ,2025/9/23,,,,1,,＠未定,
vs. アルビレックス新潟 第32節 明治安田J1リーグ,2025/9/27,,,,1,日程未確定,＠未定,
vs. 鹿島アントラーズ 第33節 明治安田J1リーグ,2025/10/4,,,,1,日程未確定,＠未定,
vs. 柏レイソル 第34節 明治安田J1リーグ,2025/10/18,,,,1,日程未確定,＠未定,
vs. 名古屋グランパス 第35節 明治安田J1リーグ,2025/10/25,,,,1,日程未確定,＠未定,
vs. ヴィッセル神戸 第36節 明治安田J1リーグ,2025/11/8,,,,1,日程未確定,＠未定,
vs. アビスパ福岡 第37節 明治安田J1リーグ,2025/11/30,,,,1,,＠未定,
vs. 東京ヴェルディ 第38節 明治安田J1リーグ,2025/12/6,,,,1,,＠未定,
